id_personne;code_dept_naiss;code_lim_jur;code_pays_naiss;code_pays_nat_1;code_sit_familiale;intitule_lieu_naissance
80590;41;NULL;FR;FR;2;CHAMPIGNY EN BEAUCE
80770;21;NULL;FR;FR;1;DIJON
80810;37;NULL;FR;FR;2;TOURS
80990;NULL;NULL;FR;FR;2;
81060;NULL;NULL;FR;FR;3;
81470;41;NULL;FR;FR;2;BLOIS
81520;45;NULL;FR;FR;1;MONTARGIS
81720;NULL;NULL;DE;FR;2;BRISACH
81930;77;NULL;FR;FR;2;FONTAINEBLEAU
81970;89;NULL;FR;FR;1;LES BORDES
82460;37;NULL;FR;FR;7;
82570;NULL;NULL;FR;FR;1;
82580;29;NULL;FR;FR;1;BREST
82670;41;NULL;FR;FR;2;SAVIGNY SUR BRAYE
83610;NULL;NULL;FR;FR;1;
83870;13;NULL;FR;FR;2;MARSEILLE
84690;51;NULL;FR;FR;2;VITRY LE FRANCOIS
85520;86;NULL;FR;FR;2;POITIERS
85740;NULL;NULL;FR;FR;7;
86200;NULL;NULL;FR;FR;1;
86400;28;NULL;FR;FR;2;SANCHEVILLE
87370;NULL;NULL;FR;FR;2;
88340;972;NULL;FR;FR;7;STE MARIE
88840;37;NULL;FR;FR;4;TOURS
89480;21;NULL;FR;FR;5;DIJON
89510;NULL;NULL;FR;FR;1;
90540;21;1;FR;FR;2;DIJON
90590;37;NULL;FR;FR;6;TOURS
90650;39;NULL;FR;FR;2;DOLE
91290;NULL;NULL;FR;FR;5;
91380;86;NULL;FR;FR;3;CHATELLERAULT
93050;18;NULL;FR;FR;3;BOURGES
94130;91;NULL;FR;FR;2;CORBEIL ESSONNES
94860;41;NULL;FR;FR;3;BLOIS
94930;41;NULL;FR;FR;3;MONTOIRE SUR LE LOIR
95740;59;NULL;FR;FR;1;VALENCIENNES
96020;41;NULL;FR;FR;1;BLOIS
96110;58;NULL;FR;FR;1;NEVERS
97010;NULL;NULL;FR;FR;2;
98250;70;NULL;FR;FR;2;PLANCHER LES MINES
