id_personne,code_dept_naiss,code_lim_jur,code_pays_naiss,code_pays_nat_1,code_sit_familiale,intitule_lieu_naissance
0000041100,NULL,NULL,FR,FR,02,
0000041110,75,NULL,FR,FR,02,PARIS
0000041180,NULL,NULL,FR,FR,01,
0000042590,NULL,NULL,FR,FR,02,
0000043460,NULL,NULL,FR,FR,02,
0000043520,NULL,NULL,FR,FR,03,
0000043590,NULL,NULL,FR,FR,02,
0000043720,45,NULL,FR,FR,07,LA CHAPELLE ST MESMIN
0000043900,NULL,NULL,FR,FR,01,
0000044930,NULL,NULL,FR,NULL,01,
0000044940,45,NULL,FR,FR,01,ORLEANS
0000044960,NULL,NULL,FR,FR,01,
0000045170,75,NULL,FR,FR,06,PARIS
0000045530,45,NULL,FR,FR,03,ORLEANS
0000045930,NULL,NULL,FR,FR,01,
0000046420,13,NULL,FR,FR,04,MARSEILLE
0000046560,21,NULL,FR,FR,03,MONT BARD
0000046700,63,NULL,FR,FR,02,CLERMONT FERRAND
0000047150,45,NULL,FR,FR,02,THIMORY
0000047230,12,NULL,FR,FR,07,LA BATIDE L EVEQUE
0000047580,NULL,NULL,FR,FR,07,
0000047790,41,NULL,FR,FR,02,BLOIS
0000047980,NULL,NULL,FR,FR,01,
0000048070,45,NULL,FR,FR,02,ERVAUVILLE
0000048640,45,NULL,FR,FR,02,DARVOY
0000048680,NULL,NULL,FR,NULL,99,
0000048700,45,NULL,FR,FR,02,NEUVILLE AUX BOIS
0000048780,03,NULL,FR,FR,02,ST MENOUX
0000048880,NULL,NULL,FR,FR,07,
0000049620,NULL,NULL,FR,FR,02,
0000049630,28,NULL,FR,FR,02,GUILLONVILLE
0000049700,NULL,NULL,FR,FR,02,
0000049770,NULL,NULL,FR,FR,02,
0000049850,NULL,NULL,FR,FR,02,
0000049860,NULL,NULL,DZ,FR,07,ALGERIE
0000049960,NULL,NULL,FR,NULL,07,
0000050550,28,NULL,FR,FR,02,CHARTRES
0000050840,36,NULL,FR,FR,06,SELLES S NAHON
0000050890,30,NULL,FR,FR,02,NIMES
0000051270,52,NULL,FR,FR,02,ST DIZIER
0000051370,92,NULL,FR,FR,07,NEUILLY SUR SEINE
0000052170,45,NULL,FR,FR,02,UGINE
0000052290,91,NULL,FR,FR,03,NANTERRE
0000052370,13,NULL,FR,FR,05,MARSEILLE
0000052390,971,NULL,FR,FR,02,RIVIERE SAINT LOUIS
0000052440,13,NULL,FR,FR,03,SALON DE PROVENCE
0000052610,NULL,NULL,FR,NULL,07,
0000053070,44,NULL,FR,FR,02,PIERRIC
0000053110,NULL,NULL,VN,FR,02,HANOI
0000053150,NULL,NULL,FR,FR,02,
0000053510,NULL,NULL,FR,FR,07,
0000053750,18,NULL,FR,FR,01,VIERZON
0000054510,NULL,NULL,FR,FR,02,
0000054710,NULL,NULL,FR,FR,07,
0000054850,18,NULL,FR,FR,07,BOURGES
0000055160,94,NULL,FR,FR,03,VILLENEUVE ST GEORGES
0000055490,NULL,NULL,FR,FR,02,
0000055860,45,NULL,FR,FR,02,ORLEANS
0000056810,NULL,NULL,FR,FR,02,
0000057310,45,NULL,FR,FR,02,ORLEANS
0000057440,17,NULL,FR,FR,02,LA ROCHELLE
0000057520,75,NULL,FR,FR,02,PARIS 17
0000057640,NULL,NULL,FR,FR,01,ST PIERRE
0000058000,NULL,NULL,FR,FR,07,
0000059000,NULL,NULL,LA,FR,05,VIENTIANE
0000059070,29,NULL,FR,FR,02,GOULIEN
0000060180,45,NULL,FR,FR,02,ORLEANS
0000060530,NULL,NULL,FR,FR,01,
0000060600,36,NULL,FR,FR,02,SHASSENEUIL
0000061520,93,NULL,FR,FR,02,DUGNY
0000061990,45,NULL,FR,FR,01,ORLEANS
0000062350,42,NULL,FR,FR,06,ROANNE
0000063880,NULL,NULL,FR,FR,02,
0000063960,NULL,NULL,FR,FR,02,
0000064350,45,NULL,FR,FR,02,HUISSEAU SUR MAUVES
0000064660,45,NULL,FR,FR,03,ORLEANS
0000064700,45,NULL,FR,FR,02,ORLEANS
0000065000,36,NULL,FR,FR,02,LE PECHEREAU
0000065270,03,NULL,FR,FR,02,FRANCHESSE
0000065460,49,NULL,FR,FR,02,COMBREE
0000065490,NULL,NULL,FR,FR,07,
0000065670,28,NULL,FR,FR,02,OZOIR LE BREUIL
